nsloth: Will smartly offload gradients to save VRAM!
{'loss': 2.8463, 'grad_norm': 0.9424721002578735, 'learning_rate': 0.00019828877005347595, 'epoch': 0.01}
{'loss': 1.9894, 'grad_norm': 0.3008348345756531, 'learning_rate': 0.00012556149732620322, 'epoch': 0.37}                                                                                                                          
{'loss': 2.191, 'grad_norm': 0.3397592008113861, 'learning_rate': 0.00012342245989304813, 'epoch': 0.38}                                                                                                                           
{'loss': 2.045, 'grad_norm': 0.31551435589790344, 'learning_rate': 0.00012128342245989306, 'epoch': 0.4}                                                                                                                           
{'loss': 2.1032, 'grad_norm': 0.3467817008495331, 'learning_rate': 0.00011914438502673797, 'epoch': 0.41}                                                                                                                          
{'loss': 2.0978, 'grad_norm': 0.3191109895706177, 'learning_rate': 0.0001170053475935829, 'epoch': 0.42}                                                                                                                           
{'loss': 2.026, 'grad_norm': 0.38748815655708313, 'learning_rate': 0.00011486631016042781, 'epoch': 0.43}                                                                                                                          
{'loss': 2.0931, 'grad_norm': 0.3858070969581604, 'learning_rate': 0.00011272727272727272, 'epoch': 0.44}                                                                                                                          
{'loss': 2.0986, 'grad_norm': 0.34866979718208313, 'learning_rate': 0.00011058823529411766, 'epoch': 0.45}                                                                                                                         
{'loss': 2.0457, 'grad_norm': 0.31948122382164, 'learning_rate': 0.00010844919786096258, 'epoch': 0.46}                                                                                                                            
{'loss': 1.9534, 'grad_norm': 0.5019739270210266, 'learning_rate': 0.00010631016042780748, 'epoch': 0.47}                                                                                                                          
{'loss': 2.1163, 'grad_norm': 0.442522257566452, 'learning_rate': 0.00010417112299465242, 'epoch': 0.48}                                                                                                                           
{'loss': 1.9718, 'grad_norm': 0.3913988471031189, 'learning_rate': 0.00010203208556149733, 'epoch': 0.49}                                                                                                                          
{'loss': 2.047, 'grad_norm': 0.31850406527519226, 'learning_rate': 9.989304812834225e-05, 'epoch': 0.5}                                                                                                                            
{'loss': 2.1154, 'grad_norm': 0.32822903990745544, 'learning_rate': 9.775401069518717e-05, 'epoch': 0.51}                                                                                                                          
{'loss': 2.0613, 'grad_norm': 0.3806213438510895, 'learning_rate': 9.561497326203209e-05, 'epoch': 0.52}                                                                                                                           
{'loss': 2.118, 'grad_norm': 0.27342772483825684, 'learning_rate': 9.347593582887702e-05, 'epoch': 0.53}                                                                                                                           
{'loss': 2.1615, 'grad_norm': 0.5114926695823669, 'learning_rate': 9.133689839572193e-05, 'epoch': 0.55}                                                                                                                           
{'loss': 2.0877, 'grad_norm': 0.22893080115318298, 'learning_rate': 8.919786096256684e-05, 'epoch': 0.56}                                                                                                                          
{'loss': 2.0229, 'grad_norm': 0.3350890874862671, 'learning_rate': 8.705882352941177e-05, 'epoch': 0.57}                                                                                                                           
{'loss': 2.0544, 'grad_norm': 0.34964752197265625, 'learning_rate': 8.49197860962567e-05, 'epoch': 0.58}                                                                                                                           
{'loss': 2.0103, 'grad_norm': 0.24469172954559326, 'learning_rate': 8.278074866310161e-05, 'epoch': 0.59}                                                                                                                          
{'loss': 2.1011, 'grad_norm': 0.4149637818336487, 'learning_rate': 8.064171122994652e-05, 'epoch': 0.6}                                                                                                                            
{'loss': 2.1107, 'grad_norm': 0.4554678201675415, 'learning_rate': 7.850267379679145e-05, 'epoch': 0.61}                                                                                                                           
{'loss': 2.0966, 'grad_norm': 0.2292603999376297, 'learning_rate': 7.636363636363637e-05, 'epoch': 0.62}                                                                                                                           
{'loss': 2.1265, 'grad_norm': 0.513655960559845, 'learning_rate': 7.422459893048129e-05, 'epoch': 0.63}                                                                                                                            
{'loss': 2.0878, 'grad_norm': 0.4570583403110504, 'learning_rate': 7.20855614973262e-05, 'epoch': 0.64}                                                                                                                            
{'loss': 2.0106, 'grad_norm': 0.39788034558296204, 'learning_rate': 6.994652406417113e-05, 'epoch': 0.65}                                                                                                                          
{'loss': 2.0497, 'grad_norm': 0.49199146032333374, 'learning_rate': 6.780748663101605e-05, 'epoch': 0.66}                                                                                                                          
{'loss': 2.0836, 'grad_norm': 0.39679133892059326, 'learning_rate': 6.566844919786096e-05, 'epoch': 0.67}                                                                                                                          
{'loss': 1.9713, 'grad_norm': 0.6025129556655884, 'learning_rate': 6.352941176470588e-05, 'epoch': 0.68}                                                                                                                           
{'loss': 2.097, 'grad_norm': 0.3873109519481659, 'learning_rate': 6.13903743315508e-05, 'epoch': 0.69}                                                                                                                             
{'loss': 2.1393, 'grad_norm': 0.3325082063674927, 'learning_rate': 5.925133689839573e-05, 'epoch': 0.71}                                                                                                                           
{'loss': 2.1676, 'grad_norm': 0.6451887488365173, 'learning_rate': 5.711229946524065e-05, 'epoch': 0.72}                                                                                                                           
{'loss': 2.1878, 'grad_norm': 0.4682944118976593, 'learning_rate': 5.497326203208556e-05, 'epoch': 0.73}                                                                                                                           
{'loss': 2.0145, 'grad_norm': 0.27106112241744995, 'learning_rate': 5.283422459893048e-05, 'epoch': 0.74}                                                                                                                          
{'loss': 1.9779, 'grad_norm': 0.4522947072982788, 'learning_rate': 5.0695187165775406e-05, 'epoch': 0.75}                                                                                                                          
{'loss': 2.0322, 'grad_norm': 0.35787731409072876, 'learning_rate': 4.855614973262032e-05, 'epoch': 0.76}                                                                                                                          
{'loss': 2.1528, 'grad_norm': 0.30772173404693604, 'learning_rate': 4.6417112299465245e-05, 'epoch': 0.77}                                                                                                                         
{'loss': 2.1324, 'grad_norm': 0.38862383365631104, 'learning_rate': 4.4278074866310165e-05, 'epoch': 0.78}                                                                                                                         
{'loss': 2.2186, 'grad_norm': 0.3955012261867523, 'learning_rate': 4.2139037433155084e-05, 'epoch': 0.79}                                                                                                                          
{'loss': 2.1667, 'grad_norm': 0.35656651854515076, 'learning_rate': 4e-05, 'epoch': 0.8}                                                                                                                                           
{'loss': 2.1533, 'grad_norm': 0.3750421404838562, 'learning_rate': 3.786096256684492e-05, 'epoch': 0.81}                                                                                                                           
{'loss': 2.0307, 'grad_norm': 0.27448371052742004, 'learning_rate': 3.572192513368984e-05, 'epoch': 0.82}                                                                                                                          
{'loss': 2.1099, 'grad_norm': 0.5803045630455017, 'learning_rate': 3.358288770053476e-05, 'epoch': 0.83}                                                                                                                           
{'loss': 2.1158, 'grad_norm': 0.3055514991283417, 'learning_rate': 3.144385026737968e-05, 'epoch': 0.84}                                                                                                                           
{'loss': 2.1605, 'grad_norm': 0.4339686930179596, 'learning_rate': 2.93048128342246e-05, 'epoch': 0.86}                                                                                                                            
{'loss': 2.1071, 'grad_norm': 0.32935982942581177, 'learning_rate': 2.716577540106952e-05, 'epoch': 0.87}                                                                                                                          
{'loss': 2.0587, 'grad_norm': 0.35224229097366333, 'learning_rate': 2.502673796791444e-05, 'epoch': 0.88}                                                                                                                          
{'loss': 2.0864, 'grad_norm': 0.506981611251831, 'learning_rate': 2.2887700534759358e-05, 'epoch': 0.89}                                                                                                                           
{'loss': 2.056, 'grad_norm': 0.3544937074184418, 'learning_rate': 2.074866310160428e-05, 'epoch': 0.9}                                                                                                                             
{'loss': 2.07, 'grad_norm': 0.42505279183387756, 'learning_rate': 1.86096256684492e-05, 'epoch': 0.91}                                                                                                                             
{'loss': 2.1315, 'grad_norm': 0.33207952976226807, 'learning_rate': 1.647058823529412e-05, 'epoch': 0.92}                                                                                                                          
{'loss': 2.2101, 'grad_norm': 0.3558407127857208, 'learning_rate': 1.4331550802139037e-05, 'epoch': 0.93}                                                                                                                          
{'loss': 1.9637, 'grad_norm': 0.4434972107410431, 'learning_rate': 1.2192513368983957e-05, 'epoch': 0.94}                                                                                                                          
{'loss': 1.9739, 'grad_norm': 0.34312471747398376, 'learning_rate': 1.0053475935828878e-05, 'epoch': 0.95}                                                                                                                         
{'loss': 2.0804, 'grad_norm': 0.2588183283805847, 'learning_rate': 7.914438502673797e-06, 'epoch': 0.96}                                                                                                                           
{'loss': 2.0217, 'grad_norm': 0.43203404545783997, 'learning_rate': 5.775401069518717e-06, 'epoch': 0.97}                                                                                                                          
{'loss': 2.2154, 'grad_norm': 0.46916747093200684, 'learning_rate': 3.636363636363636e-06, 'epoch': 0.98}                                                                                                                          
{'loss': 2.0878, 'grad_norm': 0.3513849973678589, 'learning_rate': 1.4973262032085562e-06, 'epoch': 0.99}                                                                                                                          
{'train_runtime': 2874.4715, 'train_samples_per_second': 1.302, 'train_steps_per_second': 0.326, 'train_loss': 2.103385339435349, 'epoch': 1.0}                                                                                    
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 936/936 [47:54<00:00,  3.07s/it] 
Saving to E:\work\LLM-fine-tuning-LinkedIn-Post\Qwen\QLoRA_model...
Training completed!



  0%|▊                                                                                                                                                                                            | 4/936 [00:08<29:44,  1.92s/it]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 2.5151, 'grad_norm': 0.3467000722885132, 'learning_rate': 0.00019828877005347595, 'epoch': 0.01}
{'loss': 2.0796, 'grad_norm': 0.3805381655693054, 'learning_rate': 0.00019614973262032086, 'epoch': 0.02}                                                                                                                          
{'loss': 2.1095, 'grad_norm': 0.30246663093566895, 'learning_rate': 0.0001940106951871658, 'epoch': 0.03}                                                                                                                          
{'loss': 2.1668, 'grad_norm': 0.3476792871952057, 'learning_rate': 0.00019187165775401072, 'epoch': 0.04}                                                                                                                          
{'loss': 2.0432, 'grad_norm': 0.31624069809913635, 'learning_rate': 0.0001897326203208556, 'epoch': 0.05}                                                                                                                          
{'loss': 2.0714, 'grad_norm': 0.3370385468006134, 'learning_rate': 0.00018759358288770054, 'epoch': 0.06}                                                                                                                          
{'loss': 2.1139, 'grad_norm': 0.31731924414634705, 'learning_rate': 0.00018545454545454545, 'epoch': 0.07}                                                                                                                         
{'loss': 2.1156, 'grad_norm': 0.32452628016471863, 'learning_rate': 0.0001833155080213904, 'epoch': 0.09}                                                                                                                          
{'loss': 2.0137, 'grad_norm': 0.23941315710544586, 'learning_rate': 0.0001811764705882353, 'epoch': 0.1}                                                                                                                           
{'loss': 2.0247, 'grad_norm': 0.32899367809295654, 'learning_rate': 0.00017903743315508022, 'epoch': 0.11}                                                                                                                         
{'loss': 2.1077, 'grad_norm': 0.4047822058200836, 'learning_rate': 0.00017689839572192516, 'epoch': 0.12}                                                                                                                          
{'loss': 2.1594, 'grad_norm': 0.29730552434921265, 'learning_rate': 0.00017475935828877007, 'epoch': 0.13}                                                                                                                         
{'loss': 2.1025, 'grad_norm': 0.307766854763031, 'learning_rate': 0.00017262032085561498, 'epoch': 0.14}                                                                                                                           
{'loss': 1.993, 'grad_norm': 0.34647926688194275, 'learning_rate': 0.0001704812834224599, 'epoch': 0.15}                                                                                                                           
{'loss': 2.0552, 'grad_norm': 0.30067917704582214, 'learning_rate': 0.0001683422459893048, 'epoch': 0.16}                                                                                                                          
{'loss': 2.087, 'grad_norm': 0.31854796409606934, 'learning_rate': 0.00016620320855614975, 'epoch': 0.17}                                                                                                                          
{'loss': 2.0789, 'grad_norm': 0.35092291235923767, 'learning_rate': 0.00016406417112299466, 'epoch': 0.18}                                                                                                                         
{'loss': 2.0464, 'grad_norm': 0.347366064786911, 'learning_rate': 0.00016192513368983957, 'epoch': 0.19}                                                                                                                           
{'loss': 2.0082, 'grad_norm': 0.31137627363204956, 'learning_rate': 0.0001597860962566845, 'epoch': 0.2}                                                                                                                           
{'loss': 2.1107, 'grad_norm': 0.2535596787929535, 'learning_rate': 0.00015764705882352943, 'epoch': 0.21}                                                                                                                          
{'loss': 2.0586, 'grad_norm': 0.2250121682882309, 'learning_rate': 0.00015550802139037434, 'epoch': 0.22}                                                                                                                          
{'loss': 2.0734, 'grad_norm': 0.3086049258708954, 'learning_rate': 0.00015336898395721925, 'epoch': 0.24}                                                                                                                          
{'loss': 1.9626, 'grad_norm': 0.3829963505268097, 'learning_rate': 0.00015122994652406416, 'epoch': 0.25}                                                                                                                          
{'loss': 2.015, 'grad_norm': 0.3013986349105835, 'learning_rate': 0.0001490909090909091, 'epoch': 0.26}                                                                                                                            
{'loss': 1.96, 'grad_norm': 0.3010820746421814, 'learning_rate': 0.00014695187165775402, 'epoch': 0.27}                                                                                                                            
{'loss': 2.0332, 'grad_norm': 0.20987188816070557, 'learning_rate': 0.00014481283422459895, 'epoch': 0.28}                                                                                                                         
{'loss': 2.1045, 'grad_norm': 0.3234897255897522, 'learning_rate': 0.00014267379679144387, 'epoch': 0.29}                                                                                                                          
{'loss': 2.1206, 'grad_norm': 0.36086609959602356, 'learning_rate': 0.00014053475935828878, 'epoch': 0.3}                                                                                                                          
{'loss': 2.0125, 'grad_norm': 0.4862033426761627, 'learning_rate': 0.0001383957219251337, 'epoch': 0.31}                                                                                                                           
{'loss': 1.9367, 'grad_norm': 0.3043796122074127, 'learning_rate': 0.0001362566844919786, 'epoch': 0.32}                                                                                                                           
{'loss': 2.1215, 'grad_norm': 0.27382373809814453, 'learning_rate': 0.00013411764705882352, 'epoch': 0.33}                                                                                                                         
{'loss': 2.1185, 'grad_norm': 0.21727551519870758, 'learning_rate': 0.00013197860962566846, 'epoch': 0.34}                                                                                                                         
{'loss': 2.14, 'grad_norm': 0.2094683051109314, 'learning_rate': 0.00012983957219251337, 'epoch': 0.35}                                                                                                                            
{'loss': 2.1134, 'grad_norm': 0.1966664344072342, 'learning_rate': 0.0001277005347593583, 'epoch': 0.36}                                                                                                                           
{'loss': 1.9537, 'grad_norm': 0.2718338668346405, 'learning_rate': 0.00012556149732620322, 'epoch': 0.37}                                                                                                                          
{'loss': 2.1534, 'grad_norm': 0.3056218922138214, 'learning_rate': 0.00012342245989304813, 'epoch': 0.38}                                                                                                                          
{'loss': 2.0046, 'grad_norm': 0.2612795829772949, 'learning_rate': 0.00012128342245989306, 'epoch': 0.4}                                                                                                                           
{'loss': 2.0745, 'grad_norm': 0.29338330030441284, 'learning_rate': 0.00011914438502673797, 'epoch': 0.41}                                                                                                                         
{'loss': 2.0543, 'grad_norm': 0.2841699421405792, 'learning_rate': 0.0001170053475935829, 'epoch': 0.42}                                                                                                                           
{'loss': 1.9889, 'grad_norm': 0.3455640375614166, 'learning_rate': 0.00011486631016042781, 'epoch': 0.43}                                                                                                                          
{'loss': 2.0627, 'grad_norm': 0.33078527450561523, 'learning_rate': 0.00011272727272727272, 'epoch': 0.44}                                                                                                                         
{'loss': 2.0627, 'grad_norm': 0.28805649280548096, 'learning_rate': 0.00011058823529411766, 'epoch': 0.45}                                                                                                                         
{'loss': 2.0112, 'grad_norm': 0.2759226858615875, 'learning_rate': 0.00010844919786096258, 'epoch': 0.46}                                                                                                                          
{'loss': 1.9244, 'grad_norm': 0.432569682598114, 'learning_rate': 0.00010631016042780748, 'epoch': 0.47}                                                                                                                           
{'loss': 2.0829, 'grad_norm': 0.3613143563270569, 'learning_rate': 0.00010417112299465242, 'epoch': 0.48}                                                                                                                          
{'loss': 1.9381, 'grad_norm': 0.3382675051689148, 'learning_rate': 0.00010203208556149733, 'epoch': 0.49}                                                                                                                          
{'loss': 2.0057, 'grad_norm': 0.2669786512851715, 'learning_rate': 9.989304812834225e-05, 'epoch': 0.5}                                                                                                                            
{'loss': 2.0842, 'grad_norm': 0.2868531346321106, 'learning_rate': 9.775401069518717e-05, 'epoch': 0.51}                                                                                                                           
{'loss': 2.0229, 'grad_norm': 0.3095417618751526, 'learning_rate': 9.561497326203209e-05, 'epoch': 0.52}                                                                                                                           
{'loss': 2.0864, 'grad_norm': 0.2322041094303131, 'learning_rate': 9.347593582887702e-05, 'epoch': 0.53}                                                                                                                           
{'loss': 2.1298, 'grad_norm': 0.4674423038959503, 'learning_rate': 9.133689839572193e-05, 'epoch': 0.55}                                                                                                                           
{'loss': 2.0546, 'grad_norm': 0.19840452075004578, 'learning_rate': 8.919786096256684e-05, 'epoch': 0.56}                                                                                                                          
{'loss': 1.9879, 'grad_norm': 0.28600844740867615, 'learning_rate': 8.705882352941177e-05, 'epoch': 0.57}                                                                                                                          
{'loss': 2.0211, 'grad_norm': 0.2915411591529846, 'learning_rate': 8.49197860962567e-05, 'epoch': 0.58}                                                                                                                            
{'loss': 1.9781, 'grad_norm': 0.20786455273628235, 'learning_rate': 8.278074866310161e-05, 'epoch': 0.59}                                                                                                                          
{'loss': 2.0671, 'grad_norm': 0.3020256757736206, 'learning_rate': 8.064171122994652e-05, 'epoch': 0.6}                                                                                                                            
{'loss': 2.0775, 'grad_norm': 0.387928307056427, 'learning_rate': 7.850267379679145e-05, 'epoch': 0.61}                                                                                                                            
{'loss': 2.0595, 'grad_norm': 0.19307784736156464, 'learning_rate': 7.636363636363637e-05, 'epoch': 0.62}                                                                                                                          
{'loss': 2.0914, 'grad_norm': 0.4647817313671112, 'learning_rate': 7.422459893048129e-05, 'epoch': 0.63}                                                                                                                           
{'loss': 2.0532, 'grad_norm': 0.392659991979599, 'learning_rate': 7.20855614973262e-05, 'epoch': 0.64}                                                                                                                             
{'loss': 1.9825, 'grad_norm': 0.3335452973842621, 'learning_rate': 6.994652406417113e-05, 'epoch': 0.65}                                                                                                                           
{'loss': 2.015, 'grad_norm': 0.4070306122303009, 'learning_rate': 6.780748663101605e-05, 'epoch': 0.66}                                                                                                                            
{'loss': 2.0487, 'grad_norm': 0.32983821630477905, 'learning_rate': 6.566844919786096e-05, 'epoch': 0.67}                                                                                                                          
{'loss': 1.9391, 'grad_norm': 0.42102375626564026, 'learning_rate': 6.352941176470588e-05, 'epoch': 0.68}                                                                                                                          
{'loss': 2.0641, 'grad_norm': 0.31906476616859436, 'learning_rate': 6.13903743315508e-05, 'epoch': 0.69}                                                                                                                           
{'loss': 2.111, 'grad_norm': 0.278124064207077, 'learning_rate': 5.925133689839573e-05, 'epoch': 0.71}                                                                                                                             
{'loss': 2.132, 'grad_norm': 0.5061965584754944, 'learning_rate': 5.711229946524065e-05, 'epoch': 0.72}                                                                                                                            
{'loss': 2.1556, 'grad_norm': 0.3376089334487915, 'learning_rate': 5.497326203208556e-05, 'epoch': 0.73}                                                                                                                           
{'loss': 1.9826, 'grad_norm': 0.2239661067724228, 'learning_rate': 5.283422459893048e-05, 'epoch': 0.74}                                                                                                                           
{'loss': 1.9527, 'grad_norm': 0.3778379261493683, 'learning_rate': 5.0695187165775406e-05, 'epoch': 0.75}                                                                                                                          
{'loss': 1.999, 'grad_norm': 0.29626592993736267, 'learning_rate': 4.855614973262032e-05, 'epoch': 0.76}                                                                                                                           
{'loss': 2.1245, 'grad_norm': 0.25156423449516296, 'learning_rate': 4.6417112299465245e-05, 'epoch': 0.77}                                                                                                                         
{'loss': 2.1003, 'grad_norm': 0.3219161033630371, 'learning_rate': 4.4278074866310165e-05, 'epoch': 0.78}                                                                                                                          
{'loss': 2.1873, 'grad_norm': 0.35073626041412354, 'learning_rate': 4.2139037433155084e-05, 'epoch': 0.79}                                                                                                                         
{'loss': 2.1328, 'grad_norm': 0.30755817890167236, 'learning_rate': 4e-05, 'epoch': 0.8}                                                                                                                                           
{'loss': 2.1153, 'grad_norm': 0.32633209228515625, 'learning_rate': 3.786096256684492e-05, 'epoch': 0.81}                                                                                                                          
{'loss': 2.0028, 'grad_norm': 0.2364707738161087, 'learning_rate': 3.572192513368984e-05, 'epoch': 0.82}                                                                                                                           
{'loss': 2.0767, 'grad_norm': 0.4736160635948181, 'learning_rate': 3.358288770053476e-05, 'epoch': 0.83}                                                                                                                           
{'loss': 2.0827, 'grad_norm': 0.25216972827911377, 'learning_rate': 3.144385026737968e-05, 'epoch': 0.84}                                                                                                                          
{'loss': 2.1255, 'grad_norm': 0.3503578007221222, 'learning_rate': 2.93048128342246e-05, 'epoch': 0.86}                                                                                                                            
{'loss': 2.0711, 'grad_norm': 0.2844018340110779, 'learning_rate': 2.716577540106952e-05, 'epoch': 0.87}                                                                                                                           
{'loss': 2.0258, 'grad_norm': 0.30042827129364014, 'learning_rate': 2.502673796791444e-05, 'epoch': 0.88}                                                                                                                          
{'loss': 2.0491, 'grad_norm': 0.3829219341278076, 'learning_rate': 2.2887700534759358e-05, 'epoch': 0.89}                                                                                                                          
{'loss': 2.0189, 'grad_norm': 0.3229213058948517, 'learning_rate': 2.074866310160428e-05, 'epoch': 0.9}                                                                                                                            
{'loss': 2.0388, 'grad_norm': 0.35917937755584717, 'learning_rate': 1.86096256684492e-05, 'epoch': 0.91}                                                                                                                           
{'loss': 2.098, 'grad_norm': 0.27317720651626587, 'learning_rate': 1.647058823529412e-05, 'epoch': 0.92}                                                                                                                           
{'loss': 2.1829, 'grad_norm': 0.28603288531303406, 'learning_rate': 1.4331550802139037e-05, 'epoch': 0.93}                                                                                                                         
{'loss': 1.931, 'grad_norm': 0.35941869020462036, 'learning_rate': 1.2192513368983957e-05, 'epoch': 0.94}                                                                                                                          
{'loss': 1.9428, 'grad_norm': 0.28675562143325806, 'learning_rate': 1.0053475935828878e-05, 'epoch': 0.95}                                                                                                                         
{'loss': 2.049, 'grad_norm': 0.21837474405765533, 'learning_rate': 7.914438502673797e-06, 'epoch': 0.96}                                                                                                                           
{'loss': 1.99, 'grad_norm': 0.3544030785560608, 'learning_rate': 5.775401069518717e-06, 'epoch': 0.97}                                                                                                                             
{'loss': 2.186, 'grad_norm': 0.3893449306488037, 'learning_rate': 3.636363636363636e-06, 'epoch': 0.98}                                                                                                                            
{'loss': 2.0522, 'grad_norm': 0.30066120624542236, 'learning_rate': 1.4973262032085562e-06, 'epoch': 0.99}                                                                                                                         
{'train_runtime': 2360.9751, 'train_samples_per_second': 1.585, 'train_steps_per_second': 0.396, 'train_loss': 2.061649008693858, 'epoch': 1.0}                                                                                    
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 936/936 [39:20<00:00,  2.52s/it] 
Saving to E:\work\LLM-fine-tuning-LinkedIn-Post\Qwen\Standard_LoRA_model...
Training completed!
